Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,First Name,Last Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2021-536137,2022-04-17,2022-04-22,Standard Class,C-1202,Jesse,Singleton,Home Office,United States,Port Carl,New Mexico,55322,East,P-35012,Technology,Accessories,Accessories - Bar,915.32,6,0.3,88.45
2,CA-2022-960155,2023-06-14,2023-06-24,Second Class,C-7956,Mary,Livingston,Consumer,United States,Gibsonfurt,Texas,04483,West,P-65481,Office Supplies,Binders,Binders - Seven,475.37,3,0.4,85.73
3,CA-2018-449486,2024-06-11,2024-06-15,Standard Class,C-6084,Billy,Richards,Corporate,United States,New Philiphaven,Wisconsin,32930,East,P-61709,Technology,Accessories,Accessories - Single,966.36,6,0.4,-102.65
4,CA-2016-890581,2023-08-23,2023-08-27,First Class,C-7612,Michael,Obrien,Consumer,United States,North Kevinbury,Washington,64886,East,P-83259,Office Supplies,Art,Art - Personal,1417.07,2,0.3,123.62
5,CA-2016-910563,2025-08-06,2025-08-10,Same Day,C-2876,Carly,Moreno,Consumer,United States,North Laurenborough,Louisiana,38591,Central,P-65101,Furniture,Furnishings,Furnishings - Matter,26.87,5,0.3,6.71
6,CA-2023-566411,2020-11-14,2020-11-22,Standard Class,C-2895,Paul,Ross,Consumer,United States,Onealland,Texas,87008,East,P-38657,Technology,Phones,Phones - Ground,1273.96,6,0.4,125.91
7,CA-2023-399551,2021-01-13,2021-01-17,Same Day,C-1504,Christine,Olson,Consumer,United States,Sloanshire,West Virginia,98714,Central,P-98576,Office Supplies,Appliances,Appliances - Political,597.46,7,0.4,152.29
8,CA-2017-684300,2024-06-26,2024-07-05,Second Class,C-1095,James,Garza,Home Office,United States,Rileyshire,South Dakota,75267,Central,P-42990,Office Supplies,Binders,Binders - Church,1545.62,10,0.0,34.19
9,CA-2017-713730,2023-10-02,2023-10-11,Second Class,C-2604,Alexander,Beard,Consumer,United States,Stevenland,Arizona,19469,East,P-86640,Furniture,Chairs,Chairs - Understand,809.79,1,0.3,-106.28
10,CA-2016-425557,2022-06-03,2022-06-06,First Class,C-6211,Michael,Allen,Consumer,United States,Port Kevin,Idaho,93926,West,P-36759,Office Supplies,Binders,Binders - This,1700.7,1,0.1,315.82
11,CA-2015-915774,2023-06-26,2023-06-30,Standard Class,C-3030,Donald,Coleman,Home Office,United States,Christinefurt,Illinois,55517,Central,P-23166,Office Supplies,Art,Art - Head,29.76,9,0.4,9.41
12,CA-2018-706876,2022-06-05,2022-06-13,Second Class,C-6859,Mikayla,Taylor,Home Office,United States,South Malikhaven,Alabama,00767,East,P-58833,Furniture,Bookcases,Bookcases - Style,937.64,4,0.4,5.19
13,CA-2019-218762,2021-06-19,2021-06-26,First Class,C-4960,Alejandra,Davis,Corporate,United States,Bethanyfort,Rhode Island,25521,West,P-66227,Office Supplies,Binders,Binders - Yard,605.88,6,0.4,15.13
14,CA-2023-362865,2021-07-03,2021-07-05,Standard Class,C-7723,Melissa,Perry,Home Office,United States,New Joan,South Dakota,82512,East,P-75855,Technology,Phones,Phones - At,1046.07,7,0.2,97.5
15,CA-2016-786474,2024-10-24,2024-11-01,Same Day,C-7542,Andre,Hansen,Corporate,United States,Jamesport,Montana,60979,East,P-43945,Technology,Phones,Phones - Cause,1481.52,1,0.2,-36.82
16,CA-2015-884031,2022-05-04,2022-05-13,Standard Class,C-5189,Taylor,Garcia,Consumer,United States,West Robert,Massachusetts,34509,South,P-63133,Furniture,Furnishings,Furnishings - Hear,1922.59,9,0.3,324.77
17,CA-2023-607395,2023-03-28,2023-03-31,Standard Class,C-6893,Kevin,David,Home Office,United States,Thomasmouth,Nebraska,95369,South,P-12181,Office Supplies,Binders,Binders - Single,379.51,3,0.4,23.13
18,CA-2023-309284,2024-07-26,2024-07-31,First Class,C-6383,Ashley,Walsh,Corporate,United States,Collinsstad,New Hampshire,29556,Central,P-89683,Furniture,Bookcases,Bookcases - People,1831.0,5,0.1,525.3
19,CA-2016-977193,2022-10-29,2022-11-01,Standard Class,C-4085,Julie,Chang,Corporate,United States,Curryborough,Ohio,93207,South,P-50832,Technology,Accessories,Accessories - Air,1130.04,3,0.2,-151.89
20,CA-2016-439321,2025-09-10,2025-09-15,Same Day,C-1193,Nicholas,Kramer,Corporate,United States,Port Roger,Ohio,90859,East,P-27596,Office Supplies,Binders,Binders - Image,568.82,4,0.0,196.6
21,CA-2023-183386,2023-01-27,2023-02-06,Same Day,C-3437,Maria,Olson,Consumer,United States,Patrickchester,California,76379,East,P-43884,Furniture,Furnishings,Furnishings - Model,331.28,7,0.1,-35.27
22,CA-2021-279810,2020-11-12,2020-11-21,Standard Class,C-4826,Jennifer,Lewis,Consumer,United States,East Walterville,Iowa,89982,Central,P-74535,Office Supplies,Appliances,Appliances - Firm,579.57,6,0.0,-44.37
23,CA-2022-926746,2021-02-21,2021-03-01,Standard Class,C-8257,Sharon,Vaughn,Corporate,United States,Foxshire,Vermont,31797,West,P-55900,Furniture,Bookcases,Bookcases - She,1751.56,10,0.0,282.58
24,CA-2017-748385,2025-06-12,2025-06-15,First Class,C-2567,Felicia,Brown,Consumer,United States,North Fred,California,76598,South,P-39592,Office Supplies,Appliances,Appliances - Decide,581.23,1,0.1,101.29
25,CA-2019-794228,2023-06-12,2023-06-19,First Class,C-7812,Jill,Brown,Corporate,United States,Zamorafurt,South Carolina,40509,West,P-24778,Furniture,Furnishings,Furnishings - Member,190.82,3,0.4,-11.28
26,CA-2018-619898,2023-07-10,2023-07-16,First Class,C-9109,Sharon,Lee,Corporate,United States,Port Brianna,Texas,62619,East,P-47245,Furniture,Tables,Tables - Year,1468.63,2,0.2,351.92
